[2016-03-06 20:17:08,965: INFO/Worker-1] 1865575558: finished strategy "author"
[2016-03-06 20:17:08,993: INFO/Worker-1] found 5 journals in search set
[2016-03-06 20:17:12,183: INFO/Worker-1] 1865575558: finished strategy "journal"
[2016-03-06 20:17:12,186: INFO/Worker-1] found 0 conferences in search set
[2016-03-06 20:17:12,186: INFO/Worker-1] 1865575558: finished strategy "conference"
[2016-03-06 20:17:13,014: INFO/Worker-1] 1446304105 author: set 41 publications
[2016-03-06 20:17:13,685: INFO/Worker-1] found 9 author in the search set
[2016-03-06 20:17:13,685: INFO/Worker-1] authors: 9
[2016-03-06 20:17:25,772: INFO/Worker-1] 1446304105: finished strategy "author"
[2016-03-06 20:17:25,812: INFO/Worker-1] found 0 journals in search set
[2016-03-06 20:17:25,812: INFO/Worker-1] 1446304105: finished strategy "journal"
[2016-03-06 20:17:25,814: INFO/Worker-1] found 0 conferences in search set
[2016-03-06 20:17:25,815: INFO/Worker-1] 1446304105: finished strategy "conference"
[2016-03-06 20:17:26,083: INFO/Worker-1] 1263174310 author: set 12 publications
[2016-03-06 20:17:27,299: INFO/Worker-1] found 28 author in the search set
[2016-03-06 20:17:27,299: INFO/Worker-1] authors: 28
[2016-03-06 20:20:01,562: INFO/Worker-1] 1263174310: finished strategy "author"
[2016-03-06 20:20:01,641: INFO/Worker-1] found 7 journals in search set
[2016-03-06 20:20:11,018: INFO/Worker-1] 1263174310: finished strategy "journal"
[2016-03-06 20:20:11,023: INFO/Worker-1] found 0 conferences in search set
[2016-03-06 20:20:11,023: INFO/Worker-1] 1263174310: finished strategy "conference"
[2016-03-06 20:20:11,282: INFO/Worker-1] 1867336751 author: set 11 publications
[2016-03-06 20:20:11,724: INFO/Worker-1] found 7 author in the search set
[2016-03-06 20:20:11,724: INFO/Worker-1] authors: 7
[2016-03-06 20:20:20,249: INFO/Worker-1] 1867336751: finished strategy "author"
[2016-03-06 20:20:20,277: INFO/Worker-1] found 6 journals in search set
[2016-03-06 20:20:22,438: INFO/Worker-1] 1867336751: finished strategy "journal"
[2016-03-06 20:20:22,440: INFO/Worker-1] found 0 conferences in search set
[2016-03-06 20:20:22,440: INFO/Worker-1] 1867336751: finished strategy "conference"
[2016-03-06 20:20:22,901: INFO/Worker-1] 1651567233 author: set 37 publications
[2016-03-06 20:20:24,655: INFO/Worker-1] found 53 author in the search set
[2016-03-06 20:20:24,655: INFO/Worker-1] authors: 53
[2016-03-06 20:23:15,540: INFO/Worker-1] 1651567233: finished strategy "author"
[2016-03-06 20:23:15,576: INFO/Worker-1] found 12 journals in search set
[2016-03-06 20:23:27,696: INFO/Worker-1] 1651567233: finished strategy "journal"
[2016-03-06 20:23:27,699: INFO/Worker-1] found 0 conferences in search set
[2016-03-06 20:23:27,699: INFO/Worker-1] 1651567233: finished strategy "conference"
[2016-03-06 20:23:27,892: INFO/Worker-1] 1880087218 author: set 10 publications
[2016-03-06 20:23:28,246: INFO/Worker-1] found 9 author in the search set
[2016-03-06 20:23:28,246: INFO/Worker-1] authors: 9
[2016-03-06 20:23:28,641: INFO/Worker-1] 1880087218: finished strategy "author"
[2016-03-06 20:23:28,662: INFO/Worker-1] found 0 journals in search set
[2016-03-06 20:23:28,662: INFO/Worker-1] 1880087218: finished strategy "journal"
[2016-03-06 20:23:28,664: INFO/Worker-1] found 0 conferences in search set
[2016-03-06 20:23:28,664: INFO/Worker-1] 1880087218: finished strategy "conference"
[2016-03-06 20:23:28,897: INFO/Worker-1] 1887724457 author: set 10 publications
[2016-03-06 20:23:30,184: INFO/Worker-1] found 41 author in the search set
[2016-03-06 20:23:30,184: INFO/Worker-1] authors: 41
[2016-03-06 20:23:57,510: INFO/Worker-1] 1887724457: finished strategy "author"
[2016-03-06 20:23:57,533: INFO/Worker-1] found 0 journals in search set
[2016-03-06 20:23:57,533: INFO/Worker-1] 1887724457: finished strategy "journal"
[2016-03-06 20:23:57,535: INFO/Worker-1] found 0 conferences in search set
