[2016-03-07 08:42:34,401: INFO/Worker-2] 129887099: finished strategy "author-ordered-minyear-recursive+journal-ordered-minyear+conference-ordered-minyear"
[2016-03-07 08:42:34,795: INFO/Worker-2] 1873504428 author: set 20 publications
[2016-03-07 08:42:36,244: INFO/Worker-2] found 219 author in the search set
[2016-03-07 08:42:36,244: INFO/Worker-2] authors: 219
[2016-03-07 08:50:27,076: INFO/Worker-2] 1873504428: finished strategy "author-ordered"
[2016-03-07 08:50:27,080: INFO/Worker-2] found 219 author in the search set
[2016-03-07 08:50:27,080: INFO/Worker-2] authors: 219
[2016-03-07 08:50:29,217: INFO/Worker-2] 1873504428: finished strategy "author-ordered-minyear"
[2016-03-07 08:50:29,219: INFO/Worker-2] found 3 journals in search set
[2016-03-07 08:50:31,537: INFO/Worker-2] 1873504428: finished strategy "journal-ordered"
[2016-03-07 08:50:31,538: INFO/Worker-2] found 3 journals in search set
[2016-03-07 08:50:32,631: INFO/Worker-2] 1873504428: finished strategy "journal-ordered-minyear"
[2016-03-07 08:50:32,632: INFO/Worker-2] found 0 conferences in search set
[2016-03-07 08:50:32,632: INFO/Worker-2] 1873504428: finished strategy "conference-ordered"
[2016-03-07 08:50:32,633: INFO/Worker-2] found 0 conferences in search set
[2016-03-07 08:50:32,633: INFO/Worker-2] 1873504428: finished strategy "conference-ordered-minyear"
[2016-03-07 08:50:32,636: INFO/Worker-2] found 219 author in the search set
[2016-03-07 08:50:32,636: INFO/Worker-2] authors: 219
[2016-03-07 08:50:34,869: INFO/Worker-2] authors: 153
[2016-03-07 08:59:51,892: INFO/Worker-2] found 15 journals in search set
[2016-03-07 08:59:58,026: INFO/Worker-2] found 0 conferences in search set
[2016-03-07 08:59:58,026: INFO/Worker-2] 1873504428: finished strategy "author-ordered-minyear-recursive+journal-ordered-minyear+conference-ordered-minyear"
[2016-03-07 08:59:58,367: INFO/Worker-2] 1878572291 author: set 19 publications
[2016-03-07 08:59:58,677: INFO/Worker-2] found 25 author in the search set
[2016-03-07 08:59:58,677: INFO/Worker-2] authors: 25
[2016-03-07 09:00:28,404: INFO/Worker-2] 1878572291: finished strategy "author-ordered"
[2016-03-07 09:00:28,405: INFO/Worker-2] found 25 author in the search set
[2016-03-07 09:00:28,405: INFO/Worker-2] authors: 25
[2016-03-07 09:00:28,515: INFO/Worker-2] 1878572291: finished strategy "author-ordered-minyear"
[2016-03-07 09:00:28,516: INFO/Worker-2] found 5 journals in search set
[2016-03-07 09:00:29,789: INFO/Worker-2] 1878572291: finished strategy "journal-ordered"
[2016-03-07 09:00:29,790: INFO/Worker-2] found 5 journals in search set
[2016-03-07 09:00:29,998: INFO/Worker-2] 1878572291: finished strategy "journal-ordered-minyear"
[2016-03-07 09:00:29,999: INFO/Worker-2] found 0 conferences in search set
[2016-03-07 09:00:29,999: INFO/Worker-2] 1878572291: finished strategy "conference-ordered"
[2016-03-07 09:00:29,999: INFO/Worker-2] found 0 conferences in search set
[2016-03-07 09:00:29,999: INFO/Worker-2] 1878572291: finished strategy "conference-ordered-minyear"
[2016-03-07 09:00:30,000: INFO/Worker-2] found 25 author in the search set
[2016-03-07 09:00:30,000: INFO/Worker-2] authors: 25
[2016-03-07 09:00:30,110: INFO/Worker-2] authors: 0
[2016-03-07 09:00:30,111: INFO/Worker-2] found 5 journals in search set
[2016-03-07 09:00:30,340: INFO/Worker-2] found 0 conferences in search set
[2016-03-07 09:00:30,340: INFO/Worker-2] 1878572291: finished strategy "author-ordered-minyear-recursive+journal-ordered-minyear+conference-ordered-minyear"
[2016-03-07 09:00:30,590: INFO/Worker-2] 1863838745 author: set 10 publications
[2016-03-07 09:00:30,834: INFO/Worker-2] found 15 author in the search set
[2016-03-07 09:00:30,834: INFO/Worker-2] authors: 15
[2016-03-07 09:01:12,636: INFO/Worker-2] 1863838745: finished strategy "author-ordered"
[2016-03-07 09:01:12,637: INFO/Worker-2] found 15 author in the search set
[2016-03-07 09:01:12,637: INFO/Worker-2] authors: 15
[2016-03-07 09:01:12,707: INFO/Worker-2] 1863838745: finished strategy "author-ordered-minyear"
[2016-03-07 09:01:12,708: INFO/Worker-2] found 2 journals in search set
[2016-03-07 09:01:13,373: INFO/Worker-2] 1863838745: finished strategy "journal-ordered"
[2016-03-07 09:01:13,374: INFO/Worker-2] found 2 journals in search set
[2016-03-07 09:01:13,477: INFO/Worker-2] 1863838745: finished strategy "journal-ordered-minyear"
[2016-03-07 09:01:13,478: INFO/Worker-2] found 0 conferences in search set
[2016-03-07 09:01:13,478: INFO/Worker-2] 1863838745: finished strategy "conference-ordered"
[2016-03-07 09:01:13,479: INFO/Worker-2] found 0 conferences in search set
[2016-03-07 09:01:13,479: INFO/Worker-2] 1863838745: finished strategy "conference-ordered-minyear"
[2016-03-07 09:01:13,480: INFO/Worker-2] found 15 author in the search set
[2016-03-07 09:01:13,480: INFO/Worker-2] authors: 15
[2016-03-07 09:01:13,550: INFO/Worker-2] authors: 0
[2016-03-07 09:01:13,551: INFO/Worker-2] found 2 journals in search set
[2016-03-07 09:01:13,653: INFO/Worker-2] found 0 conferences in search set
[2016-03-07 09:01:13,653: INFO/Worker-2] 1863838745: finished strategy "author-ordered-minyear-recursive+journal-ordered-minyear+conference-ordered-minyear"
[2016-03-07 09:01:13,997: INFO/Worker-2] 1890762594 author: set 20 publications
[2016-03-07 09:01:14,355: INFO/Worker-2] found 26 author in the search set
[2016-03-07 09:01:14,355: INFO/Worker-2] authors: 26
[2016-03-07 09:01:40,724: INFO/Worker-2] 1890762594: finished strategy "author-ordered"
[2016-03-07 09:01:40,725: INFO/Worker-2] found 26 author in the search set
[2016-03-07 09:01:40,726: INFO/Worker-2] authors: 26
